STATION,NAME,MONTH,DAY,YEAR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",8,30,1950,0,0,0,NaN,111,73
USW00023183,"PHOENIX AIRPORT, AZ US",8,31,1950,0,0,0,NaN,115,73
USW00023183,"PHOENIX AIRPORT, AZ US",9,1,1950,0,0,0,NaN,118,74
USW00023183,"PHOENIX AIRPORT, AZ US",9,2,1950,0,0,0,NaN,111,82
USW00023183,"PHOENIX AIRPORT, AZ US",9,3,1950,0,0,0,NaN,111,75
USW00023183,"PHOENIX AIRPORT, AZ US",9,4,1950,0,0,0,NaN,99,81
USW00023183,"PHOENIX AIRPORT, AZ US",9,5,1950,0,0,0,NaN,99,78
USW00023183,"PHOENIX AIRPORT, AZ US",9,6,1950,0.05,0,0,NaN,100,76
USW00023183,"PHOENIX AIRPORT, AZ US",9,7,1950,0,0,0,NaN,95,68
USW00023183,"PHOENIX AIRPORT, AZ US",9,8,1950,0,0,0,NaN,97,65
USW00023183,"PHOENIX AIRPORT, AZ US",9,9,1950,0,0,0,NaN,99,67
USW00023183,"PHOENIX AIRPORT, AZ US",9,10,1950,0,0,0,NaN,99,67
USW00023183,"PHOENIX AIRPORT, AZ US",9,11,1950,0,0,0,NaN,97,65
USW00023183,"PHOENIX AIRPORT, AZ US",9,12,1950,0,0,0,NaN,97,63
USW00023183,"PHOENIX AIRPORT, AZ US",9,13,1950,0,0,0,NaN,98,62
USW00023183,"PHOENIX AIRPORT, AZ US",9,14,1950,0,0,0,NaN,97,63
USW00023183,"PHOENIX AIRPORT, AZ US",9,15,1950,0,0,0,NaN,97,64
USW00023183,"PHOENIX AIRPORT, AZ US",9,16,1950,0,0,0,NaN,98,64
USW00023183,"PHOENIX AIRPORT, AZ US",9,17,1950,0,0,0,NaN,99,62
USW00023183,"PHOENIX AIRPORT, AZ US",9,18,1950,0.29,0,0,NaN,94,64
USW00023183,"PHOENIX AIRPORT, AZ US",9,19,1950,0,0,0,NaN,94,68
USW00023183,"PHOENIX AIRPORT, AZ US",9,20,1950,0,0,0,NaN,93,56
USW00023183,"PHOENIX AIRPORT, AZ US",9,21,1950,0.15,0,0,NaN,71,58
USW00023183,"PHOENIX AIRPORT, AZ US",9,22,1950,0,0,0,NaN,87,56
USW00023183,"PHOENIX AIRPORT, AZ US",9,23,1950,0,0,0,NaN,95,62
USW00023183,"PHOENIX AIRPORT, AZ US",9,24,1950,0,0,0,NaN,97,64
USW00023183,"PHOENIX AIRPORT, AZ US",9,25,1950,0,0,0,NaN,98,61
USW00023183,"PHOENIX AIRPORT, AZ US",9,26,1950,0,0,0,NaN,101,62
USW00023183,"PHOENIX AIRPORT, AZ US",9,27,1950,0,0,0,NaN,101,63
USW00023183,"PHOENIX AIRPORT, AZ US",9,28,1950,0,0,0,NaN,100,64
USW00023183,"PHOENIX AIRPORT, AZ US",9,29,1950,0,0,0,NaN,101,66
USW00023183,"PHOENIX AIRPORT, AZ US",9,30,1950,0,0,0,NaN,96,69
USW00023183,"PHOENIX AIRPORT, AZ US",10,1,1950,0,0,0,NaN,91,62
USW00023183,"PHOENIX AIRPORT, AZ US",10,2,1950,0,0,0,NaN,97,53
USW00023183,"PHOENIX AIRPORT, AZ US",10,3,1950,0,0,0,NaN,98,61
USW00023183,"PHOENIX AIRPORT, AZ US",10,4,1950,0,0,0,NaN,100,67
USW00023183,"PHOENIX AIRPORT, AZ US",10,5,1950,0,0,0,NaN,101,64
USW00023183,"PHOENIX AIRPORT, AZ US",10,6,1950,0,0,0,NaN,98,66
USW00023183,"PHOENIX AIRPORT, AZ US",10,7,1950,0,0,0,NaN,100,63
USW00023183,"PHOENIX AIRPORT, AZ US",10,8,1950,0,0,0,NaN,104,59
USW00023183,"PHOENIX AIRPORT, AZ US",10,9,1950,0,0,0,NaN,102,64
USW00023183,"PHOENIX AIRPORT, AZ US",10,10,1950,0,0,0,NaN,102,63
USW00023183,"PHOENIX AIRPORT, AZ US",10,11,1950,0,0,0,NaN,103,59
USW00023183,"PHOENIX AIRPORT, AZ US",10,12,1950,0,0,0,NaN,104,65
USW00023183,"PHOENIX AIRPORT, AZ US",10,13,1950,0,0,0,NaN,102,62
USW00023183,"PHOENIX AIRPORT, AZ US",10,14,1950,0,0,0,NaN,98,68
USW00023183,"PHOENIX AIRPORT, AZ US",10,15,1950,0,0,0,NaN,99,65
USW00023183,"PHOENIX AIRPORT, AZ US",10,16,1950,0,0,0,NaN,100,62
USW00023183,"PHOENIX AIRPORT, AZ US",10,17,1950,0,0,0,NaN,98,61
USW00023183,"PHOENIX AIRPORT, AZ US",10,18,1950,0,0,0,NaN,97,57
USW00023183,"PHOENIX AIRPORT, AZ US",10,19,1950,0,0,0,NaN,97,54
USW00023183,"PHOENIX AIRPORT, AZ US",10,20,1950,0,0,0,NaN,99,60
USW00023183,"PHOENIX AIRPORT, AZ US",10,21,1950,0,0,0,NaN,97,61
USW00023183,"PHOENIX AIRPORT, AZ US",10,22,1950,0,0,0,NaN,93,54
USW00023183,"PHOENIX AIRPORT, AZ US",10,23,1950,0,0,0,NaN,90,57
USW00023183,"PHOENIX AIRPORT, AZ US",10,24,1950,0,0,0,NaN,95,64
USW00023183,"PHOENIX AIRPORT, AZ US",10,25,1950,0,0,0,NaN,93,62
USW00023183,"PHOENIX AIRPORT, AZ US",10,26,1950,0,0,0,NaN,88,57
