STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN,,
USC00142835,"FORT SCOTT, KS US",12/18/2007,0,0,44,22,,
USC00142835,"FORT SCOTT, KS US",12/19/2007,0,0,49,23,,
USC00142835,"FORT SCOTT, KS US",12/20/2007,0,0,58,23,,
USC00142835,"FORT SCOTT, KS US",12/21/2007,0,0,54,26,,
USC00142835,"FORT SCOTT, KS US",12/22/2007,0,0,64,26,,
USC00142835,"FORT SCOTT, KS US",12/23/2007,0.52,0,39,16,,
USC00142835,"FORT SCOTT, KS US",12/24/2007,0,0,36,15,,
USC00142835,"FORT SCOTT, KS US",12/25/2007,0,0,44,23,,
USC00142835,"FORT SCOTT, KS US",12/26/2007,0,0,53,31,,
USC00142835,"FORT SCOTT, KS US",12/27/2007,0,0,38,30,,
USC00142835,"FORT SCOTT, KS US",12/28/2007,0.12,0,34,30,,
USC00142835,"FORT SCOTT, KS US",12/29/2007,0,0,34,21,,
USC00142835,"FORT SCOTT, KS US",12/30/2007,0,0,37,20,,
USC00142835,"FORT SCOTT, KS US",12/31/2007,0,0,45,20,,
USC00142835,"FORT SCOTT, KS US",1/1/2008,0,0,42,23,,
USC00142835,"FORT SCOTT, KS US",1/2/2008,0,0,28,9,,
USC00142835,"FORT SCOTT, KS US",1/3/2008,0,0,28,9,,
